user_id,brand_research,brand_visits,cart_adds,deals_clicked,eco_products_viewed,gift_guides_viewed,products_viewed,purchases,quick_purchases,repeat_purchases,reviews_read,searches,specs_viewed,wishlists
92,0,0,1,0,2,0,49,1,0,0,18,20,0,0
93,0,0,0,0,0,0,39,1,0,0,27,12,0,0
94,0,0,0,0,0,0,33,5,0,0,27,5,0,0
95,0,0,0,1,0,0,29,2,2,2,19,3,0,0
96,0,0,0,0,0,0,15,3,0,0,17,5,0,0
97,0,0,0,0,0,0,33,5,0,0,21,3,0,0
98,0,0,0,0,0,0,45,0,0,0,28,20,0,0
99,0,0,0,2,0,0,21,1,0,0,15,19,0,0
100,0,0,0,0,0,0,12,1,0,0,30,15,1,0
101,0,0,0,0,0,0,34,2,0,0,28,18,0,0
102,0,0,0,0,0,0,35,0,0,0,25,2,0,0
103,0,0,2,0,0,0,38,1,0,1,25,12,0,0
104,0,0,0,0,0,0,17,1,2,0,16,16,0,0
105,0,0,0,0,0,0,21,3,0,0,16,10,0,0
106,0,0,0,0,0,0,27,0,0,2,20,15,0,0
107,0,0,0,0,1,0,13,2,0,0,25,7,0,0
108,0,0,0,0,0,0,14,4,0,0,24,2,0,2
109,0,0,0,0,0,0,25,5,0,0,25,14,0,0
110,0,2,0,0,2,0,18,3,0,0,30,3,0,0
111,0,0,0,0,0,0,22,1,0,0,18,8,0,0
112,0,0,0,0,0,2,50,5,0,0,23,17,0,0
113,0,0,1,0,0,2,12,5,0,0,24,10,1,0
114,0,0,0,0,0,0,19,5,0,0,25,7,0,0
115,0,0,0,1,0,0,31,2,0,0,16,2,0,0
116,0,0,0,0,0,0,16,5,0,0,24,14,0,0
117,0,2,2,0,0,0,42,4,0,0,27,3,0,0
118,0,1,0,0,0,0,30,2,0,0,25,6,0,0
119,1,0,0,0,0,0,14,3,0,0,24,13,0,0
120,0,0,0,0,0,0,30,4,0,0,16,16,0,0
121,0,0,0,0,0,0,50,1,0,2,29,7,0,0
122,0,0,0,0,0,0,33,4,0,0,15,15,0,0
123,0,0,0,0,0,0,21,5,1,0,21,13,0,0
124,0,0,0,2,0,0,31,3,0,0,29,16,1,0
125,0,0,0,0,0,0,16,4,0,0,16,7,0,0
126,0,0,0,0,0,0,37,1,0,0,19,11,0,0
127,0,0,0,2,0,0,23,1,0,0,24,11,0,0
128,0,0,0,0,0,0,38,3,0,0,16,16,0,0
129,0,0,0,0,0,0,12,2,0,1,20,7,0,2
130,0,0,0,0,0,0,29,3,0,0,25,8,0,0
131,0,0,0,0,0,0,49,1,0,0,20,16,0,0
132,0,0,0,0,0,0,46,4,0,0,17,20,0,0
133,0,0,0,0,0,0,13,3,0,0,23,7,0,0
134,0,0,0,0,0,0,36,2,0,0,18,8,0,0
135,0,0,0,0,0,1,27,1,0,2,18,11,0,0
136,0,0,0,0,0,0,43,2,0,0,24,12,0,0
137,0,0,0,0,0,0,24,2,0,0,22,20,0,0
138,0,0,0,0,0,0,43,2,0,0,25,4,0,0
139,0,0,0,0,0,0,14,4,0,0,30,2,0,1
140,2,0,0,0,0,0,48,4,0,0,16,15,0,0
141,0,0,0,0,0,0,12,2,0,0,16,16,0,0
142,0,0,0,0,1,0,19,4,0,0,15,19,0,0
143,0,0,1,0,0,0,46,1,0,0,22,12,0,0
144,0,0,0,0,0,0,49,1,0,0,23,16,0,1
145,0,0,2,0,0,0,45,0,0,0,26,8,0,0
146,0,0,0,1,0,0,42,5,0,0,28,16,0,0
147,0,0,0,0,0,0,35,1,0,0,20,19,0,0
148,0,0,0,0,0,0,14,4,0,0,26,6,0,0
149,0,0,0,0,0,0,36,0,0,0,15,3,0,0
150,2,2,0,0,0,0,47,2,0,0,20,16,2,0
151,0,0,0,0,0,0,47,5,0,0,20,13,0,0
152,0,0,0,0,0,0,28,5,0,0,28,10,0,0
153,0,0,0,0,0,0,20,2,0,2,28,10,0,0
154,0,0,0,1,2,0,14,3,0,0,26,20,1,0
155,0,0,0,0,0,0,20,5,0,0,23,20,0,0
156,0,0,0,0,0,0,29,3,0,0,15,18,0,0
157,0,0,0,0,0,1,47,0,0,0,19,6,0,0
158,0,0,0,0,0,0,44,1,2,0,16,12,0,0
159,0,0,0,0,0,0,43,5,0,0,17,17,0,0
160,0,0,0,0,0,0,34,5,0,0,15,8,0,0
161,0,0,0,1,0,0,39,2,2,0,22,18,0,0
162,0,0,0,0,0,0,18,2,0,0,15,16,0,0
163,0,0,0,0,0,0,18,5,0,0,25,17,0,0
164,0,0,0,0,0,0,44,5,0,0,23,4,0,0
165,0,0,0,0,0,0,23,1,0,0,24,5,0,0
166,0,0,0,0,0,0,15,5,0,0,16,9,0,0
167,0,0,0,0,0,0,42,4,0,0,17,12,0,0
168,0,0,0,0,1,0,30,0,0,0,30,16,0,0
169,0,0,2,0,0,0,28,4,0,0,27,6,0,0
170,0,0,0,0,0,0,16,0,0,0,16,8,0,0
171,0,0,0,0,0,0,21,4,0,0,29,17,1,0
172,0,0,0,0,1,2,50,3,0,0,27,9,1,0
173,0,0,0,0,0,0,35,5,0,0,22,7,0,2
174,0,0,0,0,2,0,29,0,0,0,29,20,0,0
175,0,0,0,0,0,0,10,2,0,0,25,3,0,0
176,0,0,0,1,0,0,17,2,0,0,29,15,0,0
177,0,0,0,0,0,0,41,3,0,0,19,19,0,0
178,0,0,0,0,0,0,44,4,0,0,16,15,0,0
179,0,0,0,0,0,0,38,2,0,0,16,13,0,0
180,0,0,0,0,0,0,21,2,0,0,15,16,0,0
181,0,0,0,0,0,0,24,5,0,0,30,3,0,0
182,0,0,0,0,0,0,29,0,0,0,18,6,0,0
183,0,0,0,0,0,0,44,2,0,0,21,17,0,0
184,0,0,0,0,0,0,14,5,0,0,19,19,0,0
185,0,0,0,1,0,2,31,4,0,0,21,4,0,0
186,0,0,0,0,0,0,19,3,0,0,27,19,0,0
187,0,0,0,0,0,0,22,1,0,0,28,17,0,0
188,0,0,0,0,0,0,35,4,0,0,15,11,0,0
189,0,0,0,0,0,0,38,3,0,0,26,20,0,0
190,1,0,1,0,0,0,49,3,0,0,18,4,0,0
191,0,0,0,0,1,0,25,1,1,0,28,9,0,0
192,0,0,0,0,0,0,11,1,0,0,21,7,0,0
193,0,0,0,0,0,0,27,1,0,0,30,18,0,0
194,0,0,0,0,1,0,42,3,0,0,22,7,0,0
195,0,2,0,0,0,0,13,3,0,0,20,9,0,0
196,0,0,0,0,0,0,35,0,0,0,30,20,0,0
197,0,0,0,0,0,0,14,3,0,0,15,4,0,0
198,0,0,0,0,0,0,38,5,0,0,19,20,0,0
199,0,0,0,0,0,0,28,4,0,0,29,11,0,0
200,0,1,0,0,0,1,12,2,0,0,29,7,0,0
201,2,0,0,0,0,1,39,0,0,0,22,8,0,0
202,0,0,0,0,0,0,21,2,0,0,20,6,1,0
203,0,0,0,0,0,0,22,1,0,0,28,19,0,0
204,0,0,0,0,2,0,21,0,0,0,26,6,0,0
205,0,0,0,0,0,0,47,3,0,0,23,11,0,0
206,0,0,0,0,0,0,37,5,0,0,24,2,0,0
207,0,0,0,0,0,0,23,0,0,0,27,15,0,0
208,0,0,0,0,0,0,48,0,0,0,23,18,0,0
209,0,1,0,0,0,0,44,2,0,0,28,7,0,0
210,0,0,0,0,0,0,41,4,0,0,20,7,0,0
211,0,0,0,0,0,0,21,1,0,0,21,5,0,1
212,0,0,1,0,0,0,26,0,0,0,15,14,0,0
213,0,0,0,0,0,0,16,5,0,0,30,2,0,0
214,0,0,0,0,0,1,14,0,0,0,15,9,0,0
215,0,0,0,0,0,0,48,2,0,0,30,20,0,0
216,0,0,0,0,0,0,33,2,0,0,25,14,0,0
217,0,0,0,0,0,0,16,1,1,0,27,2,0,0
218,0,0,0,0,0,2,15,5,0,0,22,9,0,0
219,0,2,0,0,0,0,29,4,0,2,24,4,0,0
220,0,2,0,0,0,0,16,1,0,0,24,17,0,0
221,0,0,0,0,0,0,18,1,0,1,27,5,0,0
222,0,0,1,0,0,0,19,1,0,0,25,13,0,0
223,0,0,0,0,0,0,12,4,0,0,24,12,0,0
224,0,0,0,0,0,0,23,3,1,0,15,7,0,0
225,0,0,1,0,0,0,20,3,0,0,26,14,0,0
226,0,0,0,0,0,0,22,3,2,0,23,12,1,0
227,0,1,2,0,0,0,20,5,0,2,18,13,0,0
228,0,0,0,0,0,0,46,2,0,0,22,20,1,0
229,0,0,0,0,0,0,49,2,0,0,18,4,0,0
230,0,0,0,0,0,0,49,4,0,0,15,20,0,0
231,0,0,0,0,2,0,49,0,1,0,19,12,0,0
232,0,0,0,0,0,0,20,2,0,0,23,15,0,0
233,0,0,0,0,0,0,12,3,0,0,27,2,0,0
234,0,0,0,0,0,0,20,0,0,0,15,12,0,0
235,0,0,0,0,0,1,22,1,0,0,21,19,0,0
236,0,0,0,0,0,0,31,2,0,0,20,11,0,0
237,0,0,0,0,0,1,21,0,0,0,20,19,0,0
238,0,0,0,0,0,0,23,5,0,0,20,11,0,0
239,0,0,0,1,0,1,35,4,0,0,21,9,0,0
240,2,0,0,1,0,0,31,5,0,2,21,18,0,0
241,0,0,0,1,0,0,24,2,0,0,21,18,0,0
242,1,0,1,0,0,0,48,3,0,0,18,11,0,0
243,0,0,0,0,0,0,49,3,0,0,16,10,1,2
244,0,0,0,0,0,0,15,2,0,0,15,2,0,0
245,2,0,0,0,0,0,11,1,0,0,28,8,0,0
246,0,0,0,0,0,0,26,5,0,0,30,7,0,0
247,1,0,0,0,0,0,19,4,0,0,30,14,0,0
248,0,0,0,0,0,0,19,2,0,0,15,19,0,0
249,0,0,0,0,1,0,15,0,0,0,15,18,0,0
250,0,0,0,0,0,0,10,3,0,0,25,7,0,0
251,1,0,0,2,0,2,45,4,0,0,22,4,0,0
252,0,0,0,0,0,0,27,3,0,0,17,17,0,0
253,0,0,0,0,0,0,32,0,0,0,16,17,0,0
254,0,0,0,1,0,0,10,4,0,0,26,12,0,0
255,0,0,0,0,0,0,13,2,0,0,27,2,0,0
256,0,0,0,0,0,0,11,2,2,0,28,20,2,0
257,0,0,0,0,0,0,21,4,0,0,28,17,0,1
258,0,0,0,0,0,0,12,4,0,0,24,16,0,0
259,0,0,0,0,0,0,48,2,2,0,19,13,0,0
260,0,0,0,0,0,0,38,3,0,0,16,16,0,0
261,0,0,0,0,0,0,42,3,0,0,19,8,0,0
262,0,0,0,0,0,0,31,5,0,0,17,13,0,0
263,0,0,0,1,0,0,49,2,0,0,30,13,0,0
264,0,0,0,0,0,0,31,4,0,0,27,16,0,0
265,0,0,0,0,0,0,12,3,0,0,18,17,0,0
266,0,0,0,0,0,0,50,4,0,0,25,14,0,0
267,0,0,0,0,0,0,50,0,0,0,17,7,0,0
268,0,0,0,0,0,0,23,4,0,0,25,14,0,0
269,0,0,0,0,0,0,35,1,0,0,17,8,0,0
270,0,0,0,0,0,0,31,3,0,0,22,19,0,0
271,0,0,0,0,0,0,30,2,0,0,24,2,0,0
272,0,0,0,0,0,0,37,2,0,2,17,4,0,0
273,0,0,0,0,0,0,11,5,0,0,27,12,0,1
274,0,0,0,0,0,0,33,2,0,0,30,14,0,0
275,0,0,0,0,0,0,31,2,0,0,17,5,0,0
276,0,0,0,0,0,0,15,3,1,0,15,9,0,0
277,0,0,0,0,0,0,25,5,0,0,18,15,0,0
278,2,0,0,0,1,0,40,3,0,0,20,2,0,0
279,0,0,0,0,0,2,17,1,0,0,27,2,0,0
280,0,0,0,0,0,0,46,0,0,0,30,4,0,0
281,0,0,0,0,0,0,46,0,0,0,29,6,0,0
282,1,0,1,0,2,0,19,0,2,0,17,3,0,0
283,0,0,2,0,0,0,43,3,0,0,21,8,0,0
284,0,0,0,0,0,0,28,5,0,0,18,4,0,0
285,0,0,0,0,2,0,50,0,0,0,28,20,0,0
286,0,0,0,0,0,0,10,5,0,0,18,4,0,0
287,0,0,0,0,0,0,34,3,0,0,27,10,0,0
288,1,0,0,0,0,0,16,5,0,0,24,7,0,0
289,0,0,0,0,0,0,13,5,0,0,23,15,0,0
290,0,0,0,0,0,0,26,4,0,0,21,5,0,0
291,0,0,0,0,0,0,38,4,0,0,23,3,0,0
292,0,0,0,0,0,0,41,2,0,0,21,20,0,0
293,0,0,0,0,0,0,21,0,2,0,21,14,0,0
294,0,0,0,0,0,0,25,2,0,0,17,15,0,0
295,0,0,0,0,0,0,37,1,0,1,25,3,1,0
296,0,0,0,0,0,0,38,3,0,0,29,19,1,0
297,0,0,0,0,1,0,22,3,0,0,25,12,0,0
298,0,0,0,0,0,0,36,5,0,0,26,19,0,0
299,0,0,0,0,0,1,41,1,0,0,24,15,0,0
300,0,0,0,0,2,0,28,4,0,0,21,4,0,0
301,0,0,0,0,0,0,17,1,0,0,21,4,0,0
302,0,1,0,0,0,0,16,2,0,0,30,13,0,0
303,0,0,0,0,0,0,29,1,0,0,21,5,0,0
304,0,0,0,0,0,0,23,0,0,0,28,11,0,0
305,0,0,0,0,0,0,17,5,0,0,23,5,0,0
306,0,0,0,0,0,0,43,5,0,0,27,16,0,0
307,0,0,0,0,0,0,13,2,0,0,30,11,2,0
308,1,0,0,0,0,0,23,0,0,0,21,11,0,0
309,2,0,0,0,0,0,43,0,0,1,19,9,0,0
310,0,0,0,0,0,0,33,3,0,0,19,8,0,0
311,0,0,0,2,0,0,10,2,0,0,19,13,0,0
312,0,0,0,0,0,0,27,5,0,0,15,16,0,0
313,0,0,0,0,0,0,42,0,0,1,27,10,2,0
314,0,0,0,0,0,0,15,4,0,0,24,15,0,2
315,0,0,0,2,0,0,40,5,0,0,20,20,0,0
316,0,0,0,0,0,0,45,4,0,0,27,20,0,0
317,0,0,0,0,0,0,35,3,0,0,23,14,0,0
318,0,0,0,0,1,0,35,3,0,0,28,19,0,0
319,0,0,0,0,0,0,24,4,0,0,24,19,0,1
320,0,0,1,2,0,0,25,0,0,0,19,18,0,0
321,0,0,0,0,0,0,50,5,0,2,17,2,0,0
322,0,0,0,0,0,0,47,2,0,0,17,8,0,0
323,0,0,2,0,0,0,13,2,0,0,15,10,0,0
324,0,0,0,0,0,0,34,4,0,0,15,13,0,0
325,0,0,0,0,1,0,42,1,0,0,23,6,0,0
326,0,0,0,0,0,2,50,3,0,2,29,16,0,0
327,0,0,0,0,0,0,20,2,0,0,16,15,0,0
328,0,0,0,0,0,0,19,2,0,0,27,13,0,0
329,0,0,0,0,0,0,30,5,0,2,29,7,1,0
330,0,0,0,0,0,0,29,4,0,0,20,16,0,0
331,0,0,0,0,0,0,30,4,0,0,26,6,0,0
332,0,0,0,0,0,0,41,4,0,0,29,18,0,0
333,0,0,0,0,1,0,30,0,0,0,20,7,0,0
334,0,0,0,0,0,0,38,0,0,0,15,2,0,0
335,0,2,0,0,0,0,16,2,0,0,27,12,0,0
336,0,0,0,0,0,2,46,4,0,0,22,5,0,0
337,0,0,0,0,0,0,26,0,0,0,17,13,0,0
338,0,0,0,0,0,0,26,5,0,0,17,5,0,0
339,0,0,0,0,0,0,45,0,0,0,15,11,0,0
340,0,0,0,0,1,0,13,1,0,0,22,17,0,0
341,0,0,0,0,0,0,45,5,0,0,26,19,0,0
342,0,0,0,0,0,1,38,5,0,0,21,10,0,0
343,0,0,0,0,0,0,17,5,0,0,30,6,0,0
344,0,0,0,0,0,0,23,4,0,0,27,12,0,0
345,0,0,0,0,0,0,14,2,0,0,23,10,0,0
346,0,0,0,0,0,0,21,5,0,0,20,17,0,0
347,0,0,0,0,0,0,35,0,0,0,27,15,0,0
348,0,0,0,1,0,0,41,0,0,0,16,17,0,0
349,2,0,0,0,0,0,45,3,0,2,21,3,2,0
350,0,0,0,0,0,0,13,5,0,0,22,17,0,0
351,0,0,0,0,0,2,27,5,0,0,28,14,1,0
352,0,0,0,0,0,0,32,3,0,0,29,15,0,0
353,0,0,0,0,0,0,26,1,0,0,22,19,0,0
354,0,0,0,0,0,0,38,5,0,0,27,3,0,0
355,0,2,0,0,0,0,45,4,0,0,23,5,0,1
356,0,0,0,0,0,0,45,2,0,0,15,20,0,0
357,0,0,0,0,0,0,25,4,0,1,16,10,0,0
358,0,0,0,0,0,0,24,2,0,0,28,5,0,0
359,2,2,0,0,0,0,33,3,0,0,30,17,0,0
360,0,0,0,0,0,0,14,1,0,0,26,4,0,0
361,0,0,0,0,0,0,16,2,0,0,24,14,0,0
362,0,0,0,0,2,0,11,0,0,0,22,19,0,0
363,2,0,0,0,0,2,18,1,0,0,15,8,0,0
364,0,0,0,0,0,0,29,1,0,0,25,7,0,0
365,0,0,0,0,0,2,34,4,0,0,17,5,0,1
366,0,1,0,0,0,0,44,5,0,0,26,6,0,0
367,0,0,0,0,0,0,44,1,0,0,30,17,0,0
368,0,0,1,0,0,0,29,0,0,0,30,11,0,0
369,0,0,0,0,0,0,17,5,0,0,17,3,0,0
370,0,1,0,0,0,0,33,5,0,0,29,18,0,0
371,0,0,0,0,0,0,38,3,0,0,16,19,0,0
372,0,0,1,0,0,0,31,5,0,0,30,14,0,0
373,1,0,1,0,0,0,36,0,0,0,30,11,0,0
374,0,0,0,0,0,0,45,1,0,0,24,9,0,0
375,0,0,0,0,0,0,40,3,0,0,23,12,0,0
376,1,0,0,0,0,0,26,2,0,0,27,6,1,0
377,0,0,0,0,0,0,34,5,0,0,21,17,0,0
378,0,0,0,0,0,0,13,4,0,0,29,12,0,0
379,0,0,1,0,0,0,37,1,2,0,29,20,2,0
380,0,0,0,0,0,0,13,1,0,0,30,19,0,0
381,0,0,1,0,2,0,50,0,0,0,22,8,0,0
382,0,0,0,0,0,0,16,3,0,0,15,5,0,0
383,0,0,2,0,0,0,19,0,0,0,29,6,0,0
384,0,0,0,0,0,0,23,5,0,0,24,4,0,0
385,0,0,0,0,0,0,37,5,0,0,17,12,0,0
386,0,0,0,0,0,0,43,4,0,1,24,13,0,0
387,0,0,2,0,0,0,14,2,0,0,28,3,2,0
388,0,0,0,0,0,0,21,4,0,0,18,8,0,1
389,0,0,0,0,0,0,25,5,0,0,21,7,0,0
390,0,0,0,0,0,0,25,3,0,0,18,14,0,0
391,0,0,0,0,0,0,19,3,0,0,22,17,0,0
392,0,0,0,0,0,0,42,5,0,2,25,6,0,0
393,0,0,0,0,0,0,22,0,0,0,30,13,0,0
394,0,0,0,0,0,0,15,5,0,0,15,15,0,0
395,0,0,0,0,0,0,32,3,0,0,28,3,0,0
396,0,0,0,0,0,0,37,1,0,0,29,3,0,0
397,0,0,0,0,0,0,16,5,0,0,30,15,0,0
398,0,0,0,0,0,0,28,5,0,0,20,15,0,0
399,0,1,0,2,0,0,13,3,0,0,27,19,0,0
400,0,0,0,0,0,0,45,2,0,0,29,9,0,0
401,0,0,0,0,0,0,15,1,0,0,24,17,0,0
402,0,0,0,0,0,0,27,5,0,0,15,3,0,0
403,0,0,0,0,0,0,27,5,0,0,15,18,0,0
404,0,0,0,0,0,0,14,5,0,0,21,19,0,0
405,0,0,0,0,0,0,36,4,0,0,19,6,0,0
406,0,0,0,0,2,0,15,5,0,0,30,16,0,0
407,0,0,0,0,0,0,16,2,0,0,20,14,0,0
408,0,0,2,0,0,0,45,0,0,0,16,14,0,0
409,0,0,0,0,0,0,12,3,0,0,19,15,0,2
410,0,0,0,0,0,0,20,5,0,0,28,9,0,0
411,0,0,0,0,0,0,11,2,1,0,23,18,0,0
412,2,0,0,0,0,0,45,5,0,0,27,16,0,0
413,0,0,0,0,0,0,29,2,0,0,30,14,0,0
414,0,0,0,2,0,0,22,4,0,0,20,4,0,0
415,2,0,0,0,0,0,43,0,0,0,23,17,0,0
416,0,0,0,0,0,0,18,0,0,2,27,17,0,0
417,0,0,0,0,0,0,10,5,0,0,21,11,1,0
418,0,0,0,0,0,0,14,5,0,0,27,9,0,0
419,0,0,0,0,0,0,34,3,0,0,15,3,0,0
420,0,0,0,0,0,0,43,5,0,0,15,7,0,1
421,0,0,0,0,0,0,37,2,0,1,29,19,0,0
422,0,0,0,0,0,0,30,2,0,0,18,18,0,0
423,0,0,0,0,0,0,27,3,0,0,29,10,0,0
424,0,0,2,0,0,0,40,5,0,0,27,16,0,0
425,0,0,2,0,0,0,30,4,0,0,26,10,0,0
426,0,0,0,0,0,0,22,1,0,0,17,19,0,0
427,0,0,0,0,2,0,48,0,0,0,15,15,0,0
428,0,0,0,0,0,2,33,1,0,0,15,17,0,0
429,0,0,0,0,0,0,49,2,0,0,29,13,0,0
430,0,0,0,0,0,0,24,3,1,0,22,9,0,0
431,0,0,0,0,0,0,44,1,0,0,20,13,0,0
432,0,0,0,0,0,0,39,1,0,0,28,6,1,0
433,0,0,0,0,0,0,18,4,0,0,18,20,0,0
434,1,0,0,0,0,0,23,2,0,0,21,9,0,0
435,0,0,0,0,1,0,46,0,0,0,22,8,0,0
436,0,0,0,0,2,0,30,1,2,0,19,17,0,0
437,0,0,0,0,1,0,29,3,0,0,29,7,0,0
438,0,1,0,0,0,0,46,4,0,0,20,17,0,0
439,0,0,0,0,0,0,30,1,0,0,28,12,0,0
440,0,0,2,1,0,0,11,4,0,0,16,9,0,0
441,0,0,0,0,1,0,22,0,0,1,27,3,0,0
442,0,0,0,0,0,0,47,4,0,2,27,18,0,0
443,0,0,0,0,0,0,41,5,0,0,25,5,0,0
444,0,0,0,0,0,0,19,0,0,0,29,19,0,0
445,0,0,0,0,0,0,25,1,0,0,27,5,0,0
446,0,0,0,0,0,0,21,3,0,0,27,5,0,0
447,2,0,0,0,0,0,20,1,0,1,25,11,0,0
448,2,0,0,0,0,0,49,4,0,0,16,12,0,0
449,0,0,0,0,0,0,10,1,0,0,16,19,0,0
450,0,0,0,0,0,2,46,3,0,0,15,15,1,0
451,0,0,0,0,0,0,32,2,0,0,25,11,0,0
452,0,0,0,0,0,0,26,3,0,0,21,18,0,0
453,0,2,0,0,0,0,24,2,0,0,19,15,0,0
454,0,0,0,0,2,0,46,1,0,0,27,4,0,0
455,0,0,0,2,0,0,11,4,0,0,26,15,0,0
456,0,0,0,0,0,2,44,2,0,0,23,5,0,0
457,0,0,0,0,0,0,29,2,0,0,27,16,0,0
458,0,0,0,0,0,0,21,4,0,0,15,9,0,0
459,0,0,0,1,0,0,39,2,0,1,26,18,0,0
460,0,0,0,0,0,0,33,1,0,2,28,19,0,0
